Channel_name,Channel_user,channel_user_email
Worcs-231108-22CA1255622-22CA12556-ROBERTS-Yasmin-ORIG,oliver.woolhouse,oliver.woolhouse@email.com
Worcs-231108-22CA1255622-22CA12556-ROBERTS-Yasmin-ORIG,adam.western,adam.western@email.com
York-230203-12NY0601121-T20227096-JOHNSON-KELLY-ORIG,david.hall,david.hall@email.com
York-230203-12NY0601121-T20227096-JOHNSON-JENNIFER-ORIG,david.hall,david.hall@email.com
Snares-230228-01KD0084719-T20227748-MONNOYER-Louis-COPY-1,alex.wright,alex.wright@email.com
Snares-230228-01KD0084719-T20227748-MONNOYER-Louis-COPY-1,avantika.prakash,avantika.prakash@email.com
Snares-230228-01KD0084719-T20227748-MONNOYER-Louis-COPY-1,richard.job,richard.job@email.com
Snares-230228-01KD0084719-T20227748-MONNOYER-Louis-ORIG,alex.wright,alex.wright@email.com
Snares-230228-01KD0084719-T20227748-MONNOYER-Louis-ORIG,avantika.prakash,avantika.prakash@email.com
Sheffd-210107-14XQ1067120-T20207233-HEWITT-MATTHEW-ORIG,david.watson,david.watson@email.com
Sheffd-210107-14XQ1067120-T20207233-HEWITT-MATTHEW-ORIG,manisha.marwaha,manisha.marwaha@email.com
Sheffd-210107-14XQ1067120-T20207233-HEWITT-MATTHEW-ORIG,joy.merriam,joy.merriam@email.com
Sheffd-210107-14XQ1067120-T20207233-HEWITT-MATTHEW-ORIG,tana.adkin,tana.adkin@email.com
Sheffd-210108-14XQ1067120-T20207233-HEWITT-SOPHIE-ORIG,manisha.marwaha,manisha.marwaha@email.com
Sheffd-210108-14XQ1067120-T20207233-HEWITT-SOPHIE-ORIG,tana.adkin,tana.adkin@email.com
Sheffd-210108-14XQ1067120-T20207233-HEWITT-SOPHIE-ORIG,joy.merriam,joy.merriam@email.com
